Country Name,Country Code,2000,2001,2002,2003,2004,2005
Africa Eastern and Southern,AFE,7.72,7.73,7.96,7.79,7.31,7.12
s,AZE,11.78,10.91,10.04,9.17,7.99,7.26
Burundi,BDI,1.59,1.59,1.59,1.61,1.6,1.62
Botswana,BWA,15.88,18.54,21.13,23.8,21.83,19.81
Central African Republic,CAF,5.61,5.69,5.8,5.81,5.72,5.7
Canada,CAN,6.83,7.22,7.66,7.57,7.19,6.76
Cuba,CUB,5.45,4.08,3.31,2.33,1.85,1.95
Cyprus,CYP,4.97,3.98,3.3,4.14,4.33,5.3
Czech Republic,CZE,8.76,7.99,7.02,7.54,8.21,7.93
Germany,DEU,7.92,7.77,8.48,9.78,10.73,11.17
Djibouti,DJI,28.34,28.22,28.08,27.96,27.85,27.72
Denmark,DNK,4.48,4.16,4.27,5.4,5.2,4.83
Dominican Republic,DOM,6.43,7.26,6.78,6.94,6.3,6.59
Algeria,DZA,29.77,27.3,25.9,23.72,17.65,15.27
East Asia & Pacific (excluding high income),EAP,3.41,3.83,4.15,4.4,4.39,4.46
Jordan,JOR,13.7,14.7,15.3,14.5,14.58,14.8
Japan,JPN,4.75,5.02,5.39,5.25,4.73,4.45
Kazakhstan,KAZ,12.75,10.43,9.33,8.78,8.4,8.13
Kenya,KEN,3.02,2.99,3,2.97,2.94,2.92
Malaysia,MYS,3,3.53,3.48,3.61,3.54,3.53
North America,NAC,4.28,4.98,5.97,6.16,5.7,5.26
Namibia,NAM,20.3,20.8,21.23,21.72,22.09,22.22
New Caledonia,NCL,17.48,17.23,16.93,16.5,16.31,15.85
Nepal,NPL,1.86,1.75,1.54,1.6,1.55,1.46
New Zealand,NZL,6.13,5.43,5.28,4.75,4.01,3.81
OECD members,OED,6.78,6.62,7.13,7.25,7.14,6.8
Oman,OMN,4.09,4.13,4.2,4.23,4.18,4.18
Other small states,OSS,13.66,13.69,13.47,13.67,13.3,12.86
